/home/jiaxiang.hao/anaconda3/lib/python3.6/site-packages/h5py/__init__.py:34: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
WARNING:tensorflow:From densifier_v2_cp.py:34: The name tf.reset_default_graph is deprecated. Please use tf.compat.v1.reset_default_graph instead.

WARNING:tensorflow:From densifier_v2_cp.py:257: The name tf.random_normal is deprecated. Please use tf.random.normal instead.

WARNING:tensorflow:From densifier_v2_cp.py:261: The name tf.placeholder is deprecated. Please use tf.compat.v1.placeholder instead.

WARNING:tensorflow:From densifier_v2_cp.py:287: The name tf.train.exponential_decay is deprecated. Please use tf.compat.v1.train.exponential_decay instead.

WARNING:tensorflow:From densifier_v2_cp.py:294: The name tf.train.GradientDescentOptimizer is deprecated. Please use tf.compat.v1.train.GradientDescentOptimizer instead.

WARNING:tensorflow:From densifier_v2_cp.py:308: The name tf.Session is deprecated. Please use tf.compat.v1.Session instead.

2020-04-27 15:26:56.513315: I tensorflow/stream_executor/platform/default/dso_loader.cc:42] Successfully opened dynamic library libcuda.so.1
2020-04-27 15:26:56.546076: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1640] Found device 0 with properties: 
name: GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:84:00.0
2020-04-27 15:26:56.546312: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcudart.so.10.0'; dlerror: libcudart.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.546473: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcublas.so.10.0'; dlerror: libcublas.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.546626: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcufft.so.10.0'; dlerror: libcufft.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.546770: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcurand.so.10.0'; dlerror: libcurand.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.546911: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcusolver.so.10.0'; dlerror: libcusolver.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.547051: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcusparse.so.10.0'; dlerror: libcusparse.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.555219: I tensorflow/stream_executor/platform/default/dso_loader.cc:42] Successfully opened dynamic library libcudnn.so.7
2020-04-27 15:26:56.555260: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1663] Cannot dlopen some GPU libraries. Skipping registering GPU devices...
2020-04-27 15:26:56.555954: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2020-04-27 15:26:56.724195: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x55e039c43de0 executing computations on platform CUDA. Devices:
2020-04-27 15:26:56.724278: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): GeForce RTX 2080 Ti, Compute Capability 7.5
2020-04-27 15:26:56.729519: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2197365000 Hz
2020-04-27 15:26:56.734480: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x55e039d80390 executing computations on platform Host. Devices:
2020-04-27 15:26:56.734545: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): <undefined>, <undefined>
2020-04-27 15:26:56.734725: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1181] Device interconnect StreamExecutor with strength 1 edge matrix:
2020-04-27 15:26:56.734773: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1187]      
WARNING:tensorflow:From densifier_v2_cp.py:309: The name tf.global_variables_initializer is deprecated. Please use tf.compat.v1.global_variables_initializer instead.

2020-04-27 15:26:56.761134: W tensorflow/compiler/jit/mark_for_compilation_pass.cc:1412] (One-time warning): Not using XLA:CPU for cluster because envvar TF_XLA_FLAGS=--tf_xla_cpu_global_jit was not set.  If you want XLA:CPU, either set that envvar, or use experimental_jit_scope to enable XLA:CPU.  To confirm that XLA is active, pass --vmodule=xla_compilation_cache=1 (as a proper command-line flag, not via TF_XLA_FLAGS) or set the envvar XLA_FLAGS=--xla_hlo_profile.
WARNING:tensorflow:From densifier_v2_cp.py:313: The name tf.train.Saver is deprecated. Please use tf.compat.v1.train.Saver instead.

====================================================================================================
len data separate: 19560960
beginning to work on aligned pairs...
Lenght of pairs_align: 19578168
eavluation: step:0 , loss : -46.63346481323242, lr:4.949999809265137, Q distance:1180.633056640625
eavluation: step:5700 , loss : -27305.314453125, lr:6.534901552137902e-25, Q distance:0.0
eavluation: step:5800 , loss : -35353.73046875, lr:2.391987734596645e-25, Q distance:0.0
eavluation: step:5900 , loss : -27096.83203125, lr:8.755457486078378e-26, Q distance:0.0
eavluation: step:6000 , loss : -12755.826171875, lr:3.2047837890177105e-26, Q distance:0.0
eavluation: step:6100 , loss : -52830.328125, lr:1.173055579437484e-26, Q distance:0.0
eavluation: step:6200 , loss : -18623.19921875, lr:4.293767596002034e-27, Q distance:0.0
eavluation: step:6300 , loss : 26306.013671875, lr:1.5716593681630815e-27, Q distance:0.0
eavluation: step:6400 , loss : -54599.90625, lr:5.752786929141186e-28, Q distance:0.0
eavluation: step:6500 , loss : -15142.892578125, lr:2.105708282458493e-28, Q distance:0.0
eavluation: step:6600 , loss : -45410.05078125, lr:7.707580665234332e-29, Q distance:0.0
eavluation: step:6700 , loss : 1927.9248046875, lr:2.8212267661317006e-29, Q distance:0.0
eavluation: step:6800 , loss : -6297.00732421875, lr:1.032661217152177e-29, Q distance:0.0
eavluation: step:6900 , loss : -104402.6171875, lr:3.7798778809448065e-30, Q distance:0.0
eavluation: step:7000 , loss : -32060.583984375, lr:1.3835589197878898e-30, Q distance:0.0
eavluation: step:7100 , loss : -56493.04296875, lr:5.064278397947049e-31, Q distance:0.0
eavluation: step:7200 , loss : -61022.2109375, lr:1.8536913496506732e-31, Q distance:0.0
eavluation: step:7300 , loss : -29340.9140625, lr:6.785116786661008e-32, Q distance:0.0
eavluation: step:7400 , loss : -42929.65234375, lr:2.483574766588935e-32, Q distance:0.0
eavluation: step:7500 , loss : -16015.9765625, lr:9.09069584765973e-33, Q distance:0.0
eavluation: step:7600 , loss : -51350.73828125, lr:3.3274916953398194e-33, Q distance:0.0
eavluation: step:7700 , loss : 2087.859375, lr:1.2179708391892509e-33, Q distance:0.0
eavluation: step:7800 , loss : 2122.259765625, lr:4.458171609733953e-34, Q distance:0.0
eavluation: step:7900 , loss : -43581.34765625, lr:1.631836640257106e-34, Q distance:0.0
eavluation: step:8000 , loss : -53551.328125, lr:5.973055860428228e-35, Q distance:0.0
eavluation: step:8100 , loss : -73099.7265625, lr:2.1863336837377321e-35, Q distance:0.0
eavluation: step:8200 , loss : -27188.0859375, lr:8.002696520283052e-36, Q distance:0.0
eavluation: step:8300 , loss : 491.668701171875, lr:2.92924883982371e-36, Q distance:0.0
eavluation: step:8400 , loss : -70798.6796875, lr:1.0722008519058577e-36, Q distance:0.0
eavluation: step:8500 , loss : -49056.546875, lr:3.924605622854555e-37, Q distance:0.0
eavluation: step:8600 , loss : -32080.705078125, lr:1.436534058158326e-37, Q distance:0.0
eavluation: step:8700 , loss : -5124.47216796875, lr:0.0, Q distance:0.0
eavluation: step:8800 , loss : -60341.77734375, lr:0.0, Q distance:0.0
eavluation: step:8900 , loss : -17960.724609375, lr:0.0, Q distance:0.0
eavluation: step:9000 , loss : -19522.693359375, lr:0.0, Q distance:0.0
eavluation: step:9100 , loss : -31784.669921875, lr:0.0, Q distance:0.0
eavluation: step:9200 , loss : -3282.345703125, lr:0.0, Q distance:0.0
eavluation: step:9300 , loss : -55249.890625, lr:0.0, Q distance:0.0
eavluation: step:9400 , loss : -23118.93359375, lr:0.0, Q distance:0.0
eavluation: step:9500 , loss : -86082.03125, lr:0.0, Q distance:0.0
eavluation: step:9600 , loss : -32200.46875, lr:0.0, Q distance:0.0
eavluation: step:9700 , loss : -59416.71484375, lr:0.0, Q distance:0.0
eavluation: step:9800 , loss : -48030.48046875, lr:0.0, Q distance:0.0
eavluation: step:9900 , loss : -39862.55859375, lr:0.0, Q distance:0.0
eavluation: step:10000 , loss : -62581.51171875, lr:0.0, Q distance:0.0
eavluation: step:10100 , loss : 706.3046875, lr:0.0, Q distance:0.0
eavluation: step:10200 , loss : 5144.2548828125, lr:0.0, Q distance:0.0
eavluation: step:10300 , loss : -17648.52734375, lr:0.0, Q distance:0.0
eavluation: step:10400 , loss : -22047.6171875, lr:0.0, Q distance:0.0
eavluation: step:10500 , loss : -35572.7890625, lr:0.0, Q distance:0.0
eavluation: step:10600 , loss : -57322.76953125, lr:0.0, Q distance:0.0
eavluation: step:10700 , loss : -11828.9326171875, lr:0.0, Q distance:0.0
eavluation: step:10800 , loss : -75669.3125, lr:0.0, Q distance:0.0
eavluation: step:10900 , loss : 7700.9765625, lr:0.0, Q distance:0.0
eavluation: step:11000 , loss : -21821.556640625, lr:0.0, Q distance:0.0
eavluation: step:11100 , loss : -42015.83984375, lr:0.0, Q distance:0.0
eavluation: step:11200 , loss : 13737.107421875, lr:0.0, Q distance:0.0
eavluation: step:11300 , loss : -67426.8359375, lr:0.0, Q distance:0.0
eavluation: step:11400 , loss : -39498.25, lr:0.0, Q distance:0.0
eavluation: step:11500 , loss : -20066.140625, lr:0.0, Q distance:0.0
eavluation: step:11600 , loss : -60669.4375, lr:0.0, Q distance:0.0
eavluation: step:11700 , loss : 2816.3896484375, lr:0.0, Q distance:0.0
eavluation: step:11800 , loss : -51767.78125, lr:0.0, Q distance:0.0
eavluation: step:11900 , loss : -38227.73828125, lr:0.0, Q distance:0.0
eavluation: step:12000 , loss : -4653.53369140625, lr:0.0, Q distance:0.0
eavluation: step:12100 , loss : -34407.1953125, lr:0.0, Q distance:0.0
eavluation: step:12200 , loss : -17294.24609375, lr:0.0, Q distance:0.0
eavluation: step:12300 , loss : -23438.009765625, lr:0.0, Q distance:0.0
eavluation: step:12400 , loss : -17580.61328125, lr:0.0, Q distance:0.0
eavluation: step:12500 , loss : -39541.69140625, lr:0.0, Q distance:0.0
eavluation: step:12600 , loss : -50186.06640625, lr:0.0, Q distance:0.0
eavluation: step:12700 , loss : -34327.11328125, lr:0.0, Q distance:0.0
eavluation: step:12800 , loss : -50960.828125, lr:0.0, Q distance:0.0
eavluation: step:12900 , loss : -34277.06640625, lr:0.0, Q distance:0.0
eavluation: step:13000 , loss : -51647.70703125, lr:0.0, Q distance:0.0
eavluation: step:13100 , loss : -16355.939453125, lr:0.0, Q distance:0.0
eavluation: step:13200 , loss : -14387.640625, lr:0.0, Q distance:0.0
eavluation: step:13300 , loss : -24798.529296875, lr:0.0, Q distance:0.0
eavluation: step:13400 , loss : -48934.71484375, lr:0.0, Q distance:0.0
eavluation: step:13500 , loss : -6425.2177734375, lr:0.0, Q distance:0.0
eavluation: step:13600 , loss : -96387.859375, lr:0.0, Q distance:0.0
eavluation: step:13700 , loss : -24459.99609375, lr:0.0, Q distance:0.0
eavluation: step:13800 , loss : -45577.13671875, lr:0.0, Q distance:0.0
eavluation: step:13900 , loss : -40836.8828125, lr:0.0, Q distance:0.0
eavluation: step:14000 , loss : -33079.734375, lr:0.0, Q distance:0.0
eavluation: step:14100 , loss : -55794.171875, lr:0.0, Q distance:0.0
eavluation: step:14200 , loss : 5160.466796875, lr:0.0, Q distance:0.0
eavluation: step:14300 , loss : -65610.40625, lr:0.0, Q distance:0.0
eavluation: step:14400 , loss : -55109.7890625, lr:0.0, Q distance:0.0
eavluation: step:14500 , loss : -19365.76171875, lr:0.0, Q distance:0.0
eavluation: step:14600 , loss : -52183.59375, lr:0.0, Q distance:0.0
eavluation: step:14700 , loss : -69191.7421875, lr:0.0, Q distance:0.0
eavluation: step:14800 , loss : -31105.818359375, lr:0.0, Q distance:0.0
eavluation: step:14900 , loss : -28729.53125, lr:0.0, Q distance:0.0
eavluation: step:15000 , loss : -28735.173828125, lr:0.0, Q distance:0.0
eavluation: step:15100 , loss : 605.07861328125, lr:0.0, Q distance:0.0
eavluation: step:15200 , loss : -9344.462890625, lr:0.0, Q distance:0.0
eavluation: step:15300 , loss : -43075.765625, lr:0.0, Q distance:0.0
eavluation: step:15400 , loss : -37642.1015625, lr:0.0, Q distance:0.0
eavluation: step:15500 , loss : -21165.5703125, lr:0.0, Q distance:0.0
eavluation: step:15600 , loss : -12863.63671875, lr:0.0, Q distance:0.0
eavluation: step:15700 , loss : -24226.44921875, lr:0.0, Q distance:0.0
eavluation: step:15800 , loss : 5527.40478515625, lr:0.0, Q distance:0.0
eavluation: step:15900 , loss : 7197.271484375, lr:0.0, Q distance:0.0
eavluation: step:16000 , loss : -33995.0390625, lr:0.0, Q distance:0.0
eavluation: step:16100 , loss : 15551.435546875, lr:0.0, Q distance:0.0
eavluation: step:16200 , loss : -97198.9296875, lr:0.0, Q distance:0.0
eavluation: step:16300 , loss : 7526.294921875, lr:0.0, Q distance:0.0
eavluation: step:16400 , loss : -14839.380859375, lr:0.0, Q distance:0.0
eavluation: step:16500 , loss : -12091.822265625, lr:0.0, Q distance:0.0
eavluation: step:16600 , loss : -29679.04296875, lr:0.0, Q distance:0.0
eavluation: step:16700 , loss : -3183.109375, lr:0.0, Q distance:0.0
eavluation: step:16800 , loss : -86203.40625, lr:0.0, Q distance:0.0
eavluation: step:16900 , loss : 7644.224609375, lr:0.0, Q distance:0.0
eavluation: step:17000 , loss : -24055.5546875, lr:0.0, Q distance:0.0
eavluation: step:17100 , loss : -86532.265625, lr:0.0, Q distance:0.0
eavluation: step:17200 , loss : -21609.341796875, lr:0.0, Q distance:0.0
eavluation: step:17300 , loss : -49014.26953125, lr:0.0, Q distance:0.0
eavluation: step:17400 , loss : -8514.6923828125, lr:0.0, Q distance:0.0
eavluation: step:17500 , loss : 2062.754150390625, lr:0.0, Q distance:0.0
eavluation: step:17600 , loss : -2298.087890625, lr:0.0, Q distance:0.0
eavluation: step:17700 , loss : -38931.7109375, lr:0.0, Q distance:0.0
eavluation: step:17800 , loss : -4925.8505859375, lr:0.0, Q distance:0.0
eavluation: step:17900 , loss : -72207.6328125, lr:0.0, Q distance:0.0
eavluation: step:18000 , loss : -3448.96728515625, lr:0.0, Q distance:0.0
eavluation: step:18100 , loss : -43986.31640625, lr:0.0, Q distance:0.0
eavluation: step:18200 , loss : -68123.703125, lr:0.0, Q distance:0.0
eavluation: step:18300 , loss : -15832.595703125, lr:0.0, Q distance:0.0
eavluation: step:18400 , loss : 15116.2646484375, lr:0.0, Q distance:0.0
eavluation: step:18500 , loss : -18412.46875, lr:0.0, Q distance:0.0
eavluation: step:18600 , loss : 27347.900390625, lr:0.0, Q distance:0.0
eavluation: step:18700 , loss : -14209.8681640625, lr:0.0, Q distance:0.0
eavluation: step:18800 , loss : -6758.6787109375, lr:0.0, Q distance:0.0
eavluation: step:18900 , loss : -9932.126953125, lr:0.0, Q distance:0.0
eavluation: step:19000 , loss : -10436.166015625, lr:0.0, Q distance:0.0
eavluation: step:19100 , loss : 26767.015625, lr:0.0, Q distance:0.0
eavluation: step:19200 , loss : -34562.546875, lr:0.0, Q distance:0.0
eavluation: step:19300 , loss : -52996.8984375, lr:0.0, Q distance:0.0
eavluation: step:19400 , loss : -11334.8203125, lr:0.0, Q distance:0.0
eavluation: step:19500 , loss : -23107.427734375, lr:0.0, Q distance:0.0
eavluation: step:19600 , loss : -22402.6640625, lr:0.0, Q distance:0.0
eavluation: step:19700 , loss : -65417.26171875, lr:0.0, Q distance:0.0
eavluation: step:19800 , loss : -8719.4375, lr:0.0, Q distance:0.0
eavluation: step:19900 , loss : -33678.234375, lr:0.0, Q distance:0.0
eavluation: step:20000 , loss : 26389.546875, lr:0.0, Q distance:0.0
eavluation: step:20100 , loss : -41935.69140625, lr:0.0, Q distance:0.0
eavluation: step:20200 , loss : -36767.0546875, lr:0.0, Q distance:0.0
eavluation: step:20300 , loss : -14158.900390625, lr:0.0, Q distance:0.0
eavluation: step:20400 , loss : -39732.91015625, lr:0.0, Q distance:0.0
eavluation: step:20500 , loss : -17979.13671875, lr:0.0, Q distance:0.0
eavluation: step:20600 , loss : -49308.734375, lr:0.0, Q distance:0.0
eavluation: step:20700 , loss : -33660.6953125, lr:0.0, Q distance:0.0
eavluation: step:20800 , loss : -41885.24609375, lr:0.0, Q distance:0.0
eavluation: step:20900 , loss : 1837.83154296875, lr:0.0, Q distance:0.0
eavluation: step:21000 , loss : -31105.96875, lr:0.0, Q distance:0.0
eavluation: step:21100 , loss : -2826.9736328125, lr:0.0, Q distance:0.0
eavluation: step:21200 , loss : -3674.06640625, lr:0.0, Q distance:0.0
eavluation: step:21300 , loss : -21376.13671875, lr:0.0, Q distance:0.0
